# NASDAQ-100 bilesenleri — agirlik ve fiyat anlik goruntusu
# Kaynak: kullanici tarafindan saglandi (2026-08-10, TSI ~11:00)
# Bu dosya KAYNAK KAYITTIR; scripts/import-holdings.js bundan
# data/holdings.seed.json uretir. Ortulu pay adedi: shares = weight / price
#
# rank	name	symbol	weightPct	price	chg	chgPct
1	Nvidia Corp	NVDA	12.92	223.96	4.97	2.27
2	Apple Inc.	AAPL	10.89	313.33	0.92	0.29
3	Microsoft Corp	MSFT	8.84	499.99	0.13	0.03
4	Amazon.Com Inc	AMZN	7.05	274.48	2.22	0.82
5	Alphabet Inc. Class A	GOOGL	5.31	354.30	-3.45	-0.96
6	Alphabet Inc. Class C	GOOG	4.99	353.47	-3.15	-0.88
7	Broadcom Inc.	AVGO	4.85	427.76	7.19	1.71
8	Space Exploration Technologies Class A	SPCX	4.18	133.11	18.19	15.83
9	Meta Platforms Inc. Class A	META	3.59	592.10	2.20	0.37
10	Tesla, Inc.	TSLA	3.09	328.58	9.05	2.83
11	Micron Technology, Inc.	MU	2.36	877.57	-3.90	-0.44
12	Walmart Inc.	WMT	2.12	111.85	-0.22	-0.20
13	Advanced Micro Devices	AMD	1.88	483.36	-5.92	-1.21
14	ASML Holding NV	ASML	1.59	1740.99	36.62	2.15
15	Intel Corp	INTC	1.22	101.65	1.84	1.84
16	Cisco Systems, Inc.	CSCO	1.14	121.43	0.55	0.45
17	Applied Materials Inc	AMAT	1.02	539.14	11.66	2.21
18	Costco Wholesale Corp	COST	1.00	947.82	-1.33	-0.14
19	Palantir Technologies Inc. Class A	PLTR	0.98	172.01	16.09	10.32
20	Lam Research Corp	LRCX	0.93	311.35	5.58	1.82
21	NetFlix Inc	NFLX	0.74	74.14	0.45	0.61
22	Arm Holdings plc ADS	ARM	0.72	282.57	-4.11	-1.43
23	Palo Alto Networks, Inc.	PANW	0.71	363.86	4.37	1.22
24	Texas Instruments Incorporated	TXN	0.62	286.08	7.68	2.76
25	KLA Corporation	KLAC	0.62	198.11	4.89	2.53
26	Linde plc	LIN	0.54	489.98	-0.13	-0.03
27	Amgen Inc	AMGN	0.53	410.94	6.09	1.51
28	CrowdStrike Holdings, Inc. Class A	CRWD	0.52	214.42	7.03	3.39
29	Marvell Technology, Inc.	MRVL	0.47	218.72	8.18	3.89
30	Shopify Inc. Class A	SHOP	0.46	151.57	4.13	2.80
31	T-Mobile US, Inc.	TMUS	0.45	177.19	-2.78	-1.54
32	Analog Devices, Inc.	ADI	0.45	389.93	12.62	3.34
33	PepsiCo, Inc.	PEP	0.45	139.02	0.58	0.42
34	Seagate Technology Holdings PLC	STX	0.44	812.76	-40.19	-4.71
35	Sandisk Corporation	SNDK	0.42	1212.21	-46.37	-3.68
36	Qualcomm Inc	QCOM	0.42	167.86	7.47	4.66
37	Gilead Sciences Inc	GILD	0.39	133.21	2.35	1.80
38	Booking Holdings Inc.	BKNG	0.38	214.42	7.03	3.39
39	Western Digital Corp.	WDC	0.36	434.30	-17.22	-3.81
40	Intuitive Surgical Inc.	ISRG	0.32	378.81	5.10	1.36
41	PDD Holdings Inc. ADS	PDD	0.31	91.76	0.91	1.00
42	Vertex Pharmaceuticals Inc	VRTX	0.30	496.07	12.04	2.49
43	Starbucks Corp	SBUX	0.29	105.58	0.42	0.40
44	Fortinet, Inc.	FTNT	0.28	159.64	-0.47	-0.29
45	Applovin Corporation Class A	APP	0.28	346.80	11.13	3.32
46	Automatic Data Processing	ADP	0.26	271.32	-2.19	-0.80
47	Airbnb, Inc. Class A	ABNB	0.25	178.07	26.43	17.43
48	Adobe Inc.	ADBE	0.25	265.21	4.97	1.91
49	Constellation Energy Corporation	CEG	0.23	269.89	8.79	3.37
50	DoorDash, Inc. Class A	DASH	0.22	216.26	3.00	1.41
51	Cadence Design Systems	CDNS	0.22	339.24	0.82	0.24
52	CSX Corporation	CSX	0.22	50.27	-0.43	-0.85
53	Mercado Libre, Inc	MELI	0.22	1820.69	-9.31	-0.51
54	Marriott International Class A	MAR	0.22	353.91	-5.76	-1.60
55	Comcast Corp	CMCSA	0.21	25.36	0.19	0.75
56	Intuit Inc	INTU	0.21	325.25	3.34	1.04
